Liechtenstein,Vaduz,1
Lithuania,Vilnius,0
Luxembourg,Luxembourg,4
Macedonia,Skopje,0
Madagascar,Antananarivo,1
Malawi,Lilongwe,0
Malaysia,Kuala Lumpur,103
Maldives,Male,0
Mali,Bamako,0
Malta,Valletta,2
Marshall Islands,Majuro,0
Mauritania,Nouakchott,0
Mauritius,Port Louis,0
Mexico,Mexico City,120
Federated States of Micronesia,Palikir,0
Moldova,Chisinau,3
Monaco,Monaco,9
Mongolia,Ulaanbaatar,6
Montenegro,Podgorica,0
Montserrat,Plymouth,0
Morocco,Rabat,2
Mozambique,Maputo,0
Namibia,Windhoek,0
Nepal,Kathmandu,7
Netherlands,Amsterdam,42
New Caledonia,Noumea,1
New Zealand,Wellington,2
Nicaragua,Managua,0
Niger,Niamey,0
Nigeria,Abuja,0
Niue,Alofi,0
Norfolk Island,Kingston,0
Northern Mariana Islands,Saipan,0
Norway,Oslo,12
Oman,Muscat,14
Pakistan,Islamabad,13
Palau,Melekeok,0
Panama,Panama City,10
Papua New Guinea,Port Moresby,0
Paraguay,Asuncion,8
Peru,Lima,96
Philippines,Manila,141
Pitcairn Islands,Adamstown,0
Poland,Warsaw,25
Portugal,Lisbon,12
Puerto Rico,San Juan,24
Qatar,Doha,46
Romania,Bucharest,31
Russia,Moscow,82
Rwanda,Kigali,0
Saint Barthelemy,Gustavia,0
Saint Helena,Jamestown,0
Saint Kitts and Nevis,Basseterre,0
Saint Lucia,Castries,0
Saint Pierre and Miquelon,Saint-Pierre,0
Saint Vincent and the Grenadines,Kingstown,0
Samoa,Apia,0
San Marino,San Marino,0
Sao Tome and Principe,Sao Tome,0
Saudi Arabia,Riyadh,88
Senegal,Dakar,0
Serbia,Belgrade,1
Seychelles,Victoria,0
Sierra Leone,Freetown,0
Singapore,Singapore,102
Sint Maarten,Philipsburg,0
Slovakia,Bratislava,6
Slovenia,Ljubljana,0
Solomon Islands,Honiara,0
Somalia,Mogadishu,0
South Africa,Pretoria,5
South Sudan,Juba,0
Spain,Madrid,76
Sri Lanka,Colombo,4
Sudan,Khartoum,2
Suriname,Paramaribo,1
Svalbard,Longyearbyen,0
Swaziland,Mbabane,0
Sweden,Stockholm,12
Switzerland,Bern,9
Syria,Damascus,1
Taiwan,Taipei,94
Tajikistan,Dushanbe,1
Tanzania,Dar es Salaam,0
Thailand,Bangkok,103
Timor-Leste,Dili,0
Togo,Lome,0
Tonga,Nuku'alofa,0
Trinidad and Tobago,Port of Spain,5
Tunisia,Tunis,6
Turkey,Ankara,78
Turkmenistan,Ashgabat,0
Turks and Caicos Islands,Grand Turk,0
Tuvalu,Funafuti,0
Uganda,Kampala,5
Ukraine,Kyiv,8
United Arab Emirates,Abu Dhabi,59
United Kingdom,London,90
United States,Washington D.C.,155
Uruguay,Montevideo,5
Uzbekistan,Tashkent,1
Vanuatu,Port-Vila,0
Venezuela,Caracas,2
Vietnam,Hanoi,22
US Virgin Islands,Charlotte Amalie,7
Wallis and Futuna,Mata-Utu,0
Yemen,Sanaa,0
Zambia,Lusaka,0
Zimbabwe,Harare,0
Northern Cyprus,North Nicosia,5
British Indian Ocean Territory,Diego Garcia,0
